,,,,,,Experiment 1,
,,,,,,Direct Prompt:,et
,,,,,,Paraphrase Prompt:,Hello I am doing an experiment i will provide 2 texts. In text 1 i will give you a reference text and in text 2 i will give you a source text. I want you to tell me if the reference text is actually referenced from the source text and i want true or false answers.
,,,,,,Summary prompt:,"Hey. I will give you two texts. The first text will be a summary that cites the second text, which is the reference. I want you to determine if the the first text is a valid summary of the second text and return a boolean."
Cost,Category,Truth Value,Reference Text,Source Text ,Source pdf link,GPT3.5 Manual,GPT4 Manual
1 min,Direct quotation,FALSE,"Immigrant men and women each have their own struggles in the Swedish labour market. Amanda and Thea reported that, in 2018, ""the immigrant-native empoyment gap was 18 percentage points for women and 11 percentage points for men.""","The money sent by migrants is called economic remittance and is mainly to provide for their families in another country. The ability to support families through remittances has become a motivation for migration (Castles et al. 2013), but remittance flows are not directly related to migration flows but rather to the stock of migrants in a specific country (Castles et al. 2013).",https://www.diva-portal.org/smash/get/diva2:1532847/FULLTEXT01.pdf,FALSE,FALSE
1 min,Direct quotation,FALSE,"Meysa and Hodan reported that ""the ability to support families through remittances has become a motivation for migration (Castles et al. 2013), but remittance flows are not directly related to migration flows but rather to the stock of migrants in a specific country.""","The software typically consists of a large number of classes, and a single change in a class might propagate to a significant percentage of other classes followed by an increase in faults/defects. However, there is little or no evidence in practice that shows change-prone software modules or classes to be more fault-prone or vice versa.",https://www.diva-portal.org/smash/get/diva2:1454014/FULLTEXT01.pdf,FALSE,FALSE
2 mins,Direct quotation,FALSE,"Alhawi and Abdilrahim states that ""the software typically consists of a large number of classes, and a single change in a class might propagate to a significant percentage of other classes followed by an increase in faults/defects.""","One of the issues in Swedish forestry is damaging historical remains when heavy machinery is used for scarification, soil preparation, and regeneration felling activities.",https://www.diva-portal.org/smash/get/diva2:1567620/FULLTEXT01.pdf,FALSE,FALSE
1 min,Direct quotation,FALSE,"Abdulin stated that ""one of the issues in Swedish forestry is damaging historical remains when heavy machinery is used for scarification, soil preparation, and regeneration felling activities.""","Another important factor that could explain why there is an immigrant-native employment gap and why it might differ by gender is discrimination. Especially non-European immigrant women might suffer from ethnic and gender discrimination in the labour market (Statskontoret, 2018). Since discrimination towards immigrants can be expressed through negative attitudes towards immigrants, overcoming these negative attitudes could improve the labour market situation of immigrants (Constant et al, 2009). ",https://www.diva-portal.org/smash/get/diva2:1571473/FULLTEXT01.pdf,FALSE,FALSE
2 mins,Direct quotation,FALSE,"Abraham and Andersson reported that ""non-European immigrant women might suffer from ethnic and gender discrimation in the labour market.""","The study resulted in the conclusion that most of the interviewees' motives were that they send remittances to family, and relatives because of altruism. Within the altruistic motives, the interviewees have been clear in explaining the receivers, for example, the family and relatives' circumstances in the home country, which means that they need financial support.",https://www.diva-portal.org/smash/get/diva2:1532847/FULLTEXT01.pdf,FALSE,FALSE
